# ArrowInput TSV dictionary
# UTF-8 TSV: code	text	comment	weight	user_weight
xuan	㔵	xuan		
gan	㔶	gan		
gong	㔶	gong		
lou	㔷	lou		
ti	㔸	ti		
le	㔹	le		
shi	㔺	shi		
sun	㔼	sun		
yao	㔽	yao		
jie	㔾	jie		
zou	㔿	zou		
que	㕁	que		
qin	㕂	qin		
yin	㕂	yin		
xi	㕃	xi		
zhi	㕄	zhi		
jia	㕅	jia		
hu	㕆	hu		
la	㕇	la		
yi	㕈	yi		
ke	㕉	ke		
fu	㕊	fu		
qin	㕋	qin		
ai	㕌	ai		
ke	㕎	ke		
chu	㕏	chu		
xie	㕐	xie		
chu	㕑	chu		
wei	㕒	wei		
huan	㕕	huan		
su	㕖	su		
you	㕗	you		
jun	㕙	jun		
zhao	㕚	zhao		
xu	㕛	xu		
shi	㕜	shi		
shua	㕞	shua		
kuai	㕟	kuai		
kui	㕟	kui		
shuang	㕠	shuang		
huo	㕡	huo		
rui	㕡	rui		
gai	㕢	gai		
hai	㕢	hai		
yan	㕣	yan		
qiu	㕤	qiu		
rou	㕤	rou		
shen	㕥	shen		
hua	㕦	hua		
xi	㕧	xi		
fan	㕨	fan		
pang	㕩	pang		
dan	㕪	dan		
fang	㕫	fang		
song	㕬	song		
zhong	㕬	zhong		
ao	㕭	ao		
fu	㕮	fu		
ne	㕯	ne		
ma	㕰	ma		
xue	㕰	xue		
you	㕱	you		
hua	㕲	hua		
ying	㕲	ying		
chen	㕴	chen		
guo	㕵	guo		
fu	㕶	fu		
huo	㕷	huo		
pa	㕷	pa		
pia	㕷	pia		
li	㕸	li		
fa	㕹	fa		
xiao	㕺	xiao		
pou	㕻	pou		
si	㕽	si		
le	㖀	le		
lin	㖁	lin		
yi	㖂	yi		
hou	㖃	hou		
zhou	㖄	zhou		
xu	㖅	xu		
qu	㖆	qu		
er	㖇	er		
xun	㖊	xun		
nie	㖏	nie		
wei	㖐	wei		
xie	㖑	xie		
ti	㖒	ti		
hong	㖓	hong		
tun	㖔	tun		
nie	㖕	nie		
xin	㖕	xin		
